Dia,Peso_g,Ganancia_Peso_g,Consumo_Diario_g,Consumo_Acumulado_g
1,40.0,0.0,-18431.06551228174,-18431.06551228174
2,128.0,88.0,140.2200040109742,-18290.845508270766
3,216.0,88.0,182.7557248306806,-18108.089783440086
4,304.0,88.0,286.0940404417463,-17821.99574299834
5,392.0,88.0,308.44921477848345,-17513.546528219857
6,480.0,88.0,310.7108277464024,-17202.835700473453
7,568.0,88.0,316.277875052049,-16886.557825421405
8,656.0,88.0,338.720034502937,-16547.837790918467
9,744.0,88.0,362.81491112268884,-16185.022879795779
10,832.0,88.0,363.16285157929184,-15821.860028216486
11,920.0,88.0,381.69068089339703,-15440.16934732309
12,1008.0,88.0,381.9516362358492,-15058.21771108724
13,1096.0,88.0,381.34274043679403,-14676.874970650446
14,1184.0,88.0,381.34274043679403,-14295.532230213652
15,1272.0,88.0,379.77700838208096,-13915.75522183157
16,1360.0,88.0,379.77700838208096,-13535.978213449489
17,1448.0,88.0,379.77700838208096,-13156.201205067407
18,1536.0,88.0,379.25509769717667,-12776.946107370231
19,1624.0,88.0,379.25509769717667,-12397.691009673055
20,1712.0,88.0,379.25509769717667,-12018.43591197588
21,1800.0,88.0,378.5592167839708,-11639.876695191908
22,1888.0,88.0,378.12429121321713,-11261.752403978691
23,1976.0,88.0,378.12429121321713,-10883.628112765475
24,2064.0,88.0,382.03862134999986,-10501.589491415474
25,2152.0,88.0,380.73384463773897,-10120.855646777734
26,2240.0,88.0,380.73384463773897,-9740.121802139995
27,2328.0,88.0,382.3865618066027,-9357.735240333392
28,2416.0,88.0,383.25641294811,-8974.478827385281
29,2504.0,88.0,383.25641294811,-8591.22241443717
30,2592.0,88.0,383.25641294811,-8207.96600148906
31,2680.0,88.0,392.0419094773336,-7815.924092011726
32,2768.0,88.0,392.0419094773336,-7423.882182534393
33,2856.0,88.0,392.91176061884084,-7030.970421915552
34,2944.0,88.0,392.91176061884084,-6638.058661296711
35,3032.0,88.0,392.91176061884084,-6245.14690067787
36,3120.0,88.0,392.91176061884084,-5852.235140059029
37,3208.0,88.0,392.91176061884084,-5459.323379440188
38,3296.0,88.0,392.91176061884084,-5066.411618821347
39,3384.0,88.0,485.2899518469147,-4581.121666974432
40,3472.0,88.0,485.2899518469147,-4095.831715127517
41,3560.0,88.0,483.20230910729725,-3612.6294060202194
42,3648.0,88.0,483.20230910729725,-3129.427096912922
43,3736.0,88.0,483.20230910729725,-2646.2247878056246
44,3824.0,88.0,483.20230910729725,-2163.022478698327
45,3912.0,88.0,483.20230910729725,-1679.82016959103
